Event, Time (sec), Component, Event Property,Value
0,602.069424, EvCtrl, EventRecorderInitialize, Restart Count = 1  Timestamp Frequency = 1000000
1,602.070118, EvCtrl, EventRecorderStart, 
2,602.528526, , id=0x0001, 0x00000001 0x00000000
3,603.08683, , id=0x0001, 0x00000001 0x00000000
4,603.58607, , id=0x0001, 0x00000001 0x00000000
5,604.08531, , id=0x0001, 0x00000001 0x00000000
6,604.58455, , id=0x0001, 0x00000001 0x00000000
7,605.08379, , id=0x0001, 0x00000001 0x00000000
8,605.58303, , id=0x0001, 0x00000001 0x00000000
9,606.08177, , id=0x0001, 0x00000001 0x00000000
10,606.58101, , id=0x0001, 0x00000001 0x00000000
11,607.07975, , id=0x0001, 0x00000001 0x00000000
12,607.578504, , id=0x0001, 0x00000001 0x00000000
13,608.077258, , id=0x0001, 0x00000001 0x00000000
14,608.575996, , id=0x0001, 0x00000001 0x00000000
15,609.07473, , id=0x0001, 0x00000001 0x00000000
16,609.573452, , id=0x0001, 0x00000001 0x00000000
17,610.13073, , id=0x0001, 0x00000001 0x00000000
18,610.62947, , id=0x0001, 0x00000001 0x00000000
19,611.12821, , id=0x0001, 0x00000001 0x00000000
20,611.62745, , id=0x0001, 0x00000001 0x00000000
21,612.12619, , id=0x0001, 0x00000001 0x00000000
22,612.62543, , id=0x0001, 0x00000001 0x00000000
23,613.12467, , id=0x0001, 0x00000001 0x00000000
24,613.62391, , id=0x0001, 0x00000001 0x00000000
25,614.12315, , id=0x0001, 0x00000001 0x00000000
26,614.62039, , id=0x0001, 0x00000001 0x00000000
27,615.11363, , id=0x0001, 0x00000001 0x00000000
28,615.60687, , id=0x0001, 0x00000001 0x00000000
29,616.10011, , id=0x0001, 0x00000001 0x00000000
30,616.59335, , id=0x0001, 0x00000001 0x00000000
31,617.08809, , id=0x0001, 0x00000001 0x00000000
32,617.58133, , id=0x0001, 0x00000001 0x00000000
33,618.07461, , id=0x0001, 0x00000001 0x00000000
34,618.567802, , id=0x0001, 0x00000001 0x00000000
35,619.12009, , id=0x0001, 0x00000001 0x00000000
36,619.613342, , id=0x0001, 0x00000001 0x00000000
37,620.10707, , id=0x0001, 0x00000001 0x00000000
38,620.600326, , id=0x0001, 0x00000001 0x00000000
